"var","base_demo_sex","count_base","count_img","dist_base","dist_img","dist_diff"
"base_health_alc_weekly_total","26",2542,123,0.00505830381661161,0.00576571508929827,0.000707411272686658
"base_health_alc_weekly_total","27",1920,75,0.00382059139570979,0.00351567993249895,-0.000304911463210849
"base_health_alc_weekly_total","28",2493,100,0.00496079914036694,0.00468757324333193,-0.000273225897035009
"base_health_alc_weekly_total","29",1309,59,0.00260476777967923,0.00276566821356584,0.000160900433886607
"base_health_alc_weekly_total","30",2924,119,0.00581844231304971,0.00557821215956499,-0.000240230153484715
"base_health_alc_weekly_total","31",1196,52,0.00237991005691089,0.0024375380865326,5.76280296217097e-05
"base_health_alc_weekly_total","32",1415,67,0.00281569626298404,0.00314067407303239,0.00032497781004835
"base_health_alc_weekly_total","33",937,30,0.00186452819676046,0.00140627197299958,-0.000458256223760879
"base_health_alc_weekly_total","34",995,40,0.00197994189517252,0.00187502929733277,-0.000104912597839753
"base_health_alc_weekly_total","35",1115,41,0.00221872885740439,0.00192190502976609,-0.000296823827638296
"base_health_alc_weekly_total","36",1080,47,0.00214908266008676,0.00220315942436601,5.40767642792464e-05
"base_health_alc_weekly_total","37",650,21,0.00129342937875592,0.000984390381099705,-0.000309038997656215
"base_health_alc_weekly_total","38",627,26,0.00124766187766148,0.0012187690432663,-2.88928343951786e-05
"base_health_alc_weekly_total","39",462,23,0.000919329804592669,0.00107814184596634,0.000158812041373674
"base_health_alc_weekly_total","40",924,36,0.00183865960918534,0.00168752636759949,-0.000151133241585845
"base_health_alc_weekly_total","41",339,4,0.000674573168305011,0.000187502929733277,-0.000487070238571733
"base_health_alc_weekly_total","42",900,29,0.00179090221673897,0.00135939624056626,-0.000431505976172707
"base_health_alc_weekly_total","43",357,14,0.00071039121263979,0.00065626025406647,-5.41309585733201e-05
"base_health_alc_weekly_total","44",384,18,0.000764118279141959,0.000843763183799747,7.96449046577881e-05
"base_health_alc_weekly_total","45",367,14,0.000730290126159112,0.00065626025406647,-7.40298720926419e-05
"base_health_alc_weekly_total","46",371,13,0.00073824969156684,0.000609384521633151,-0.00012886516993369
"base_health_alc_weekly_total","47",221,6,0.000439765988777013,0.000281254394599916,-0.000158511594177097
"base_health_alc_weekly_total","48",292,11,0.000581048274764198,0.000515633056766512,-6.54152179976859e-05
"base_health_alc_weekly_total","49",232,8,0.000461654793648267,0.000375005859466554,-8.66489341817127e-05
"base_health_alc_weekly_total","50",443,12,0.000881521868905958,0.000562508789199831,-0.000319013079706127
"base_health_alc_weekly_total","51",155,5,0.000308433159549489,0.000234378662166596,-7.40544973828922e-05
"base_health_alc_weekly_total","52",236,15,0.000469614359055996,0.000703135986499789,0.000233521627443794
"base_health_alc_weekly_total","53",128,4,0.00025470609304732,0.000187502929733277,-6.72031633140425e-05
"base_health_alc_weekly_total","54",175,2,0.000348230986588132,9.37514648666385e-05,-0.000254479521721494
"base_health_alc_weekly_total","55",144,5,0.000286544354678235,0.000234378662166596,-5.21656925116382e-05
"base_health_alc_weekly_total","56",208,3,0.000413897401201894,0.000140627197299958,-0.000273270203901937
"base_health_alc_weekly_total","57",87,1,0.0001731205476181,4.68757324333193e-05,-0.000126244815184781
"base_health_alc_weekly_total","58",90,3,0.000179090221673897,0.000140627197299958,-3.84630243739388e-05
"base_health_alc_weekly_total","59",65,3,0.000129342937875592,0.000140627197299958,1.12842594243658e-05
"base_health_alc_weekly_total","60",161,1,0.000320372507661082,4.68757324333193e-05,-0.000273496775227762
"base_health_alc_weekly_total","61",65,4,0.000129342937875592,0.000187502929733277,5.81599918576851e-05
"base_health_alc_weekly_total","62",91,2,0.000181080113025829,9.37514648666385e-05,-8.73286481591902e-05
"base_health_alc_weekly_total","63",71,6,0.000141282285987185,0.000281254394599916,0.00013997210861273
"base_health_alc_weekly_total","64",91,0,0.000181080113025829,0,-0.000181080113025829
"base_health_alc_weekly_total","65",67,1,0.000133322720579456,4.68757324333193e-05,-8.64469881461371e-05
"base_health_alc_weekly_total","66",52,0,0.000103474350300474,0,-0.000103474350300474
"base_health_alc_weekly_total","67",38,2,7.5615871373423e-05,9.37514648666385e-05,1.81355934932155e-05
"base_health_alc_weekly_total","68",59,1,0.000117403589763999,4.68757324333193e-05,-7.05278573306796e-05
"base_health_alc_weekly_total","69",27,1,5.3727066502169e-05,4.68757324333193e-05,-6.85133406884971e-06
"base_health_alc_weekly_total","70",96,3,0.00019102956978549,0.000140627197299958,-5.04023724855319e-05
"base_health_alc_weekly_total","71",31,0,6.16866319098977e-05,0,-6.16866319098977e-05
"base_health_alc_weekly_total","72",52,1,0.000103474350300474,4.68757324333193e-05,-5.65986178671543e-05
"base_health_alc_weekly_total","73",20,0,3.97978270386437e-05,0,-3.97978270386437e-05
"base_health_alc_weekly_total","74",30,0,5.96967405579655e-05,0,-5.96967405579655e-05
"base_health_alc_weekly_total","75",46,0,9.15350021888805e-05,0,-9.15350021888805e-05
"base_health_alc_weekly_total","76",34,0,6.76563059656943e-05,0,-6.76563059656943e-05
"base_health_alc_weekly_total","77",28,1,5.57169578541012e-05,4.68757324333193e-05,-8.84122542078189e-06
"base_health_alc_weekly_total","78",24,1,4.77573924463724e-05,4.68757324333193e-05,-8.81660013053156e-07
"base_health_alc_weekly_total","79",18,1,3.58180443347793e-05,4.68757324333193e-05,1.105768809854e-05
"base_health_alc_weekly_total","80",54,1,0.000107454133004338,4.68757324333193e-05,-6.05784005710187e-05
