"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"125",0.02,18,"logit",1879196.30499084,-5952.81403715821,-636.717919658629,44153.0692671358
"126",0.02,18,"bart",1914375.57565793,-6468.46290028529,-1152.36678278571,79332.3399342282
"127",0.02,19,"none",1882914.6502855,-5945.52936719844,-629.433249698865,47871.4145617911
"128",0.02,19,"rake",1836788.87409938,-5262.62656641978,53.4695510798038,1745.63837567647
"129",0.02,19,"strat",1879042.68087895,-5880.96799663421,-564.871879134628,43999.4451552425
"130",0.02,19,"calib",2001593.40802876,-7770.57778024865,-2454.48166274907,166550.172305052
"131",0.02,19,"lasso",1899305.71470206,-6201.89664616056,-885.800528660979,64262.4789783529
"132",0.02,19,"logit",1883033.72082931,-5997.40078072795,-681.304663228371,47990.4851056
"133",0.02,19,"bart",1894671.00293669,-6152.78692843896,-836.690810939383,59627.7672129795
"134",0.02,20,"none",1919255.5894356,-6550.35426917511,-1234.25815167553,84212.3537118959
"135",0.02,20,"rake",1871985.72334509,-5941.11243578954,-625.016318289962,36942.4876213791
"136",0.02,20,"strat",1876854.87890288,-5921.47079211537,-605.374674615789,41811.6431791696
"137",0.02,20,"calib",1891511.0115645,-6198.63176048196,-882.535642982381,56467.7758407914
"138",0.02,20,"lasso",1887095.87833307,-6167.84620265741,-851.750085157831,52052.6426093683
"139",0.02,20,"logit",1964731.07136004,-7306.89641347488,-1990.8002959753,129687.835636331
"140",0.02,20,"bart",1846212.56179412,-5427.00092317795,-110.904805678369,11169.3260704146
"141",0.02,21,"none",1900603.07061212,-6202.50422150196,-886.408104002379,65559.8348884124
"142",0.02,21,"rake",1851810.60829721,-5487.7665357333,-171.670418233725,16767.3725735052
"143",0.02,21,"strat",1857302.99533539,-5528.9598806332,-212.863763133621,22259.759611682
"144",0.02,21,"calib",1857412.88805948,-5595.15809088348,-279.0619733839,22369.6523357716
"145",0.02,21,"lasso",1883976.52863935,-5979.16087638014,-663.06475888056,48933.2929156441
"146",0.02,21,"logit",1855486.24244992,-5515.07117270155,-198.975055201975,20443.0067262154
"147",0.02,21,"bart",1861627.395528,-5621.31199882869,-305.215881329115,26584.1598042932
"148",0.02,22,"none",1976880.23956403,-7293.29732761147,-1977.20121011189,141837.003840326
"149",0.02,22,"rake",1959570.03048528,-7149.5663825904,-1833.47026509082,124526.794761572
"150",0.02,22,"strat",1997905.99313415,-7611.72419728665,-2295.62807978707,162862.757410448
"151",0.02,22,"calib",1940785.02339909,-6666.18420091442,-1350.08808341484,105741.787675387
"152",0.02,22,"lasso",1948848.69682351,-6895.47482567448,-1579.3787081749,113805.461099802
"153",0.02,22,"logit",1932845.87795151,-6689.6506068674,-1373.55448936782,97802.6422278048
"154",0.02,22,"bart",1949395.75597125,-6850.36099946968,-1534.2648819701,114352.520247539
"155",0.02,23,"none",1860519.82379711,-5681.32493285591,-365.228815356327,25476.5880734064
"156",0.02,23,"rake",1829100.82268501,-5158.8785961457,157.217521353882,-5942.4130386936
"157",0.02,23,"strat",1874779.83227313,-5896.48283455943,-580.386717059846,39736.5965494255
"158",0.02,23,"calib",1878773.15681036,-5854.4415607795,-538.345443279924,43729.9210866538
"159",0.02,23,"lasso",1867475.27413688,-5791.67058391887,-475.574466419291,32432.03841317
"160",0.02,23,"logit",1814300.75157673,-4989.42047161012,326.675645889463,-20742.4841469808
"161",0.02,23,"bart",1881565.71253427,-6021.40137217345,-705.305254673867,46522.4768105638
