"","prop_sampled","sim_num","method","(Intercept)","age"
"277",0.05,40,"calib",0,5.29616180033228e-75
"278",0.05,40,"lasso",0,6.12210424116546e-61
"279",0.05,40,"logit",0,2.46342487891142e-54
"280",0.05,40,"bart",0,3.01133824497861e-93
"281",0.05,41,"none",0,1.34420157357761e-65
"282",0.05,41,"rake",0,8.52903592857213e-72
"283",0.05,41,"strat",0,2.82100606397145e-81
"284",0.05,41,"calib",0,2.1079781963935e-100
"285",0.05,41,"lasso",0,1.87013568687672e-80
"286",0.05,41,"logit",0,1.14948681522769e-62
"287",0.05,41,"bart",0,2.99372576837427e-81
"288",0.05,42,"none",0,2.18392548342216e-75
"289",0.05,42,"rake",0,1.64604926052936e-88
"290",0.05,42,"strat",0,5.51121267703386e-93
"291",0.05,42,"calib",0,1.16327053205363e-46
"292",0.05,42,"lasso",0,7.85683953319304e-76
"293",0.05,42,"logit",0,4.22137979434877e-83
"294",0.05,42,"bart",0,3.55310186590588e-92
"295",0.05,43,"none",0,7.56288296467107e-68
"296",0.05,43,"rake",0,5.45218689237418e-104
"297",0.05,43,"strat",0,8.01211361109835e-104
"298",0.05,43,"calib",0,1.99813631488023e-56
"299",0.05,43,"lasso",0,3.06935978409612e-72
"300",0.05,43,"logit",0,2.79321486566433e-83
"301",0.05,43,"bart",0,2.0489188808379e-100
"302",0.05,44,"none",0,2.57534382669294e-75
"303",0.05,44,"rake",0,2.76316505131666e-73
"304",0.05,44,"strat",0,1.02664526701456e-80
"305",0.05,44,"calib",0,3.87872067507664e-108
"306",0.05,44,"lasso",0,4.81745812710871e-76
"307",0.05,44,"logit",0,2.17036618397743e-42
"308",0.05,44,"bart",0,2.75740592634024e-93
"309",0.05,45,"none",0,3.1103403570594e-81
"310",0.05,45,"rake",0,2.53250041732194e-105
"311",0.05,45,"strat",0,2.06680439346713e-101
"312",0.05,45,"calib",0,5.77967725342352e-200
"313",0.05,45,"lasso",0,1.54410030681595e-111
"314",0.05,45,"logit",0,5.70835839245381e-79
"315",0.05,45,"bart",0,2.50949468079028e-102
"316",0.05,46,"none",0,1.01964828372913e-83
"317",0.05,46,"rake",0,1.15416512689325e-109
"318",0.05,46,"strat",0,1.76139301807439e-105
"319",0.05,46,"calib",0,1.14920924690868e-76
"320",0.05,46,"lasso",0,7.13885287282522e-85
"321",0.05,46,"logit",0,2.7049056469834e-108
"322",0.05,46,"bart",0,2.33416010399942e-92
"323",0.05,47,"none",0,6.19955984559671e-78
"324",0.05,47,"rake",0,4.69892614193558e-100
"325",0.05,47,"strat",0,1.130457293792e-100
"326",0.05,47,"calib",0,1.44794604507145e-75
"327",0.05,47,"lasso",0,1.64938914570487e-88
"328",0.05,47,"logit",0,3.60622779149913e-96
"329",0.05,47,"bart",0,8.99206920613356e-118
"330",0.05,48,"none",0,8.69880719967745e-81
"331",0.05,48,"rake",0,2.25095540410612e-91
"332",0.05,48,"strat",0,2.46358879852563e-105
"333",0.05,48,"calib",0,3.47235101005458e-76
"334",0.05,48,"lasso",0,1.03163999146878e-88
"335",0.05,48,"logit",0,9.53239216098567e-74
"336",0.05,48,"bart",0,6.5556932933812e-120
"337",0.05,49,"none",0,2.69079885567532e-72
"338",0.05,49,"rake",0,4.34149920480354e-89
"339",0.05,49,"strat",0,2.01230099536137e-87
"340",0.05,49,"calib",0,1.58503913036757e-43
"341",0.05,49,"lasso",0,4.85001773445188e-79
"342",0.05,49,"logit",0,1.33437666360476e-109
"343",0.05,49,"bart",0,7.71092432453177e-93
"344",0.05,50,"none",0,8.62123698269349e-74
"345",0.05,50,"rake",0,2.43691055869788e-101
"346",0.05,50,"strat",0,2.40171294466696e-99
"347",0.05,50,"calib",0,3.37660849891307e-136
"348",0.05,50,"lasso",0,8.84920820778115e-80
"349",0.05,50,"logit",0,1.2141634136281e-87
"350",0.05,50,"bart",0,9.69466349451537e-105
"351",0.05,51,"none",0,4.28302554348165e-68
"352",0.05,51,"rake",0,4.91608084883642e-56
"353",0.05,51,"strat",0,8.83249311795613e-69
"354",0.05,51,"calib",0,2.02186954521035e-61
"355",0.05,51,"lasso",0,7.19744940800631e-81
"356",0.05,51,"logit",0,2.57265563954435e-59
"357",0.05,51,"bart",0,5.09184063835772e-96
"358",0.05,52,"none",0,5.91782720096802e-81
"359",0.05,52,"rake",0,2.66551372479202e-102
"360",0.05,52,"strat",0,1.01514598540598e-91
"361",0.05,52,"calib",0,3.61820504772786e-86
"362",0.05,52,"lasso",0,7.08473654102952e-84
"363",0.05,52,"logit",0,3.53381865045299e-100
"364",0.05,52,"bart",0,4.21473757026039e-96
"365",0.05,53,"none",0,1.59870321403291e-78
"366",0.05,53,"rake",0,3.50801737227401e-87
"367",0.05,53,"strat",0,2.15074376859706e-102
"368",0.05,53,"calib",0,1.88399298546426e-50
"369",0.05,53,"lasso",0,1.77253765895499e-79
"370",0.05,53,"logit",0,2.02098816487408e-67
"371",0.05,53,"bart",0,2.14431228403392e-107
"372",0.05,54,"none",0,3.74927474973681e-78
"373",0.05,54,"rake",0,2.77656229830885e-69
"374",0.05,54,"strat",0,1.12580510650588e-73
"375",0.05,54,"calib",0,7.28701897956804e-105
"376",0.05,54,"lasso",0,1.95147120869524e-81
"377",0.05,54,"logit",0,2.22485757686465e-60
"378",0.05,54,"bart",0,1.31686793198069e-81
"379",0.05,55,"none",0,2.36954150113453e-67
"380",0.05,55,"rake",0,5.48634138794589e-94
"381",0.05,55,"strat",0,1.67754992269921e-83
"382",0.05,55,"calib",0,2.67306211719926e-67
"383",0.05,55,"lasso",0,6.76592762768082e-75
"384",0.05,55,"logit",0,1.62514850154347e-113
"385",0.05,55,"bart",0,5.61776087718519e-84
"386",0.05,56,"none",0,1.17497994428485e-68
"387",0.05,56,"rake",0,1.21491857253318e-73
"388",0.05,56,"strat",0,7.53937921963863e-76
"389",0.05,56,"calib",0,7.66984553991562e-111
"390",0.05,56,"lasso",0,1.92860676573218e-65
"391",0.05,56,"logit",0,3.7869304762843e-56
"392",0.05,56,"bart",0,3.02665235551886e-80
"393",0.05,57,"none",0,9.35937691857352e-62
"394",0.05,57,"rake",0,1.29700948536469e-74
"395",0.05,57,"strat",0,2.87043735464518e-73
"396",0.05,57,"calib",0,1.65472611961957e-93
"397",0.05,57,"lasso",0,7.29868518943158e-61
"398",0.05,57,"logit",0,7.47465453206197e-46
"399",0.05,57,"bart",0,4.84706574405519e-93
"400",0.05,58,"none",0,1.2974235414012e-66
"401",0.05,58,"rake",0,3.01110900979173e-79
"402",0.05,58,"strat",0,7.17378851141863e-69
"403",0.05,58,"calib",0,4.24295994128179e-130
"404",0.05,58,"lasso",0,1.85726646282732e-75
"405",0.05,58,"logit",0,3.37288729943421e-78
"406",0.05,58,"bart",0,3.81445528528835e-79
"407",0.05,59,"none",0,7.14495245347929e-74
"408",0.05,59,"rake",0,5.63955447100916e-89
"409",0.05,59,"strat",0,8.1898842705523e-83
"410",0.05,59,"calib",0,1.04273929018026e-108
"411",0.05,59,"lasso",0,1.45936891659818e-82
"412",0.05,59,"logit",0,2.55516826019433e-86
"413",0.05,59,"bart",0,2.61104170106804e-87
"414",0.05,60,"none",0,2.04194801926076e-82
"415",0.05,60,"rake",0,1.79805458825424e-97
"416",0.05,60,"strat",0,4.48545606729234e-105
"417",0.05,60,"calib",0,2.00527848235024e-18
"418",0.05,60,"lasso",0,1.36082986431033e-79
"419",0.05,60,"logit",0,3.95745839735977e-79
"420",0.05,60,"bart",0,2.59927761383713e-96
"421",0.05,61,"none",0,4.76522453731764e-64
"422",0.05,61,"rake",0,2.27220116085997e-68
"423",0.05,61,"strat",0,2.00318230743633e-65
"424",0.05,61,"calib",0,1.66594669870834e-42
"425",0.05,61,"lasso",0,6.87645577553878e-70
"426",0.05,61,"logit",0,2.1923078378431e-78
"427",0.05,61,"bart",0,5.50546111307622e-69
"428",0.05,62,"none",0,1.09089542601924e-88
"429",0.05,62,"rake",0,2.28624013924285e-118
"430",0.05,62,"strat",0,4.39030007199715e-114
"431",0.05,62,"calib",0,2.29693817589689e-57
"432",0.05,62,"lasso",0,1.04986220900103e-90
"433",0.05,62,"logit",0,6.13855717843288e-39
"434",0.05,62,"bart",0,1.66663788673446e-121
"435",0.05,63,"none",0,4.30909178393333e-71
"436",0.05,63,"rake",0,8.49411161770583e-92
"437",0.05,63,"strat",0,8.50951514458277e-82
"438",0.05,63,"calib",0,8.46226577930951e-81
"439",0.05,63,"lasso",0,1.02389429452584e-68
"440",0.05,63,"logit",0,9.50769624779698e-106
"441",0.05,63,"bart",0,4.62152060300294e-95
"442",0.05,64,"none",0,1.62232744399559e-60
"443",0.05,64,"rake",0,6.94418157823792e-58
"444",0.05,64,"strat",0,7.96999234114998e-76
"445",0.05,64,"calib",0,3.34286364170423e-60
"446",0.05,64,"lasso",0,1.54438919350887e-56
"447",0.05,64,"logit",0,5.21383038185233e-71
"448",0.05,64,"bart",0,7.71667879915302e-78
"449",0.05,65,"none",0,8.71245451827918e-61
