"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"203",0.057,29,"bart",3.8873536754161e-43,6.54072632535092e-30
"204",0.057,30,"none",9.93135418697146e-54,1.52989726619139e-34
"205",0.057,30,"rake",9.93135418697146e-54,1.52989726619139e-34
"206",0.057,30,"strat",2.51217165315497e-51,8.21900787327637e-38
"207",0.057,30,"calib",3.62770838400076e-72,9.04932904976852e-60
"208",0.057,30,"lasso",4.24886972184476e-54,3.35798946268329e-34
"209",0.057,30,"logit",3.89830520825686e-71,2.1784546727319e-64
"210",0.057,30,"bart",1.413792004062e-70,2.81239632819357e-59
"211",0.057,31,"none",4.89726795820308e-57,2.7429961218379e-39
"212",0.057,31,"rake",4.89726795820308e-57,2.7429961218379e-39
"213",0.057,31,"strat",7.58538476271611e-88,5.6435189231183e-84
"214",0.057,31,"calib",2.35467293093428e-85,6.14968282881964e-77
"215",0.057,31,"lasso",6.18960253270577e-83,1.95866422139861e-66
"216",0.057,31,"logit",2.28569848718652e-65,5.43741023174948e-60
"217",0.057,31,"bart",3.21755329907179e-116,2.15285349519345e-118
"218",0.057,32,"none",5.5261086240473e-66,1.60030615775133e-45
"219",0.057,32,"rake",5.5261086240473e-66,1.60030615775133e-45
"220",0.057,32,"strat",2.74655659286744e-116,5.46360595821632e-118
"221",0.057,32,"calib",2.83853003695991e-89,2.56595250148743e-73
"222",0.057,32,"lasso",1.92651681919487e-62,3.06460558593136e-48
"223",0.057,32,"logit",2.28842812737842e-73,2.69518493637642e-63
"224",0.057,32,"bart",5.54819875219962e-107,1.62707616525729e-103
"225",0.057,33,"none",1.69885169857532e-60,5.79687793246476e-42
"226",0.057,33,"rake",1.69885169857532e-60,5.79687793246476e-42
"227",0.057,33,"strat",1.66534256391486e-70,9.7681732585692e-65
"228",0.057,33,"calib",2.65038007903974e-43,5.97824364612005e-34
"229",0.057,33,"lasso",1.38819829799553e-60,4.12176467000465e-45
"230",0.057,33,"logit",5.69653339082879e-59,1.8787398105809e-55
"231",0.057,33,"bart",6.71425701625826e-77,9.0625715164437e-70
"232",0.057,34,"none",2.92363163291124e-52,3.97784370579223e-34
"233",0.057,34,"rake",2.92363163291124e-52,3.97784370579223e-34
"234",0.057,34,"strat",1.63772193248353e-48,1.61011495022602e-38
"235",0.057,34,"calib",5.20402623528454e-28,7.74894839755978e-13
"236",0.057,34,"lasso",5.16622418353946e-49,3.75093110604628e-33
"237",0.057,34,"logit",1.1179943622261e-58,2.28292273462759e-47
"238",0.057,34,"bart",3.60379502982234e-69,5.80496936445184e-64
"239",0.057,35,"none",6.02881709824061e-49,1.65088270390728e-32
"240",0.057,35,"rake",6.02881709824061e-49,1.65088270390728e-32
"241",0.057,35,"strat",1.47848743557904e-46,4.84313716805171e-36
"242",0.057,35,"calib",4.74875103679254e-75,6.41336954007225e-62
"243",0.057,35,"lasso",2.59205600945563e-43,1.14699677819903e-32
"244",0.057,35,"logit",1.79603206897034e-48,4.81251071375687e-43
"245",0.057,35,"bart",1.56170093148402e-33,7.59939571412703e-23
"246",0.057,36,"none",1.10096110347026e-57,1.68151968784884e-37
"247",0.057,36,"rake",1.10096110347026e-57,1.68151968784884e-37
"248",0.057,36,"strat",4.30474970121379e-71,2.06931600193888e-63
"249",0.057,36,"calib",1.34989671492333e-41,2.38554390889136e-30
"250",0.057,36,"lasso",2.22555363746858e-44,4.12936357019214e-29
"251",0.057,36,"logit",5.33335330034922e-55,8.93944565979453e-47
"252",0.057,36,"bart",1.04596450679339e-58,1.06734825578834e-48
"253",0.057,37,"none",2.06918219462533e-54,1.64875261923179e-35
"254",0.057,37,"rake",2.06918219462533e-54,1.64875261923179e-35
"255",0.057,37,"strat",1.05949304737702e-97,2.06583611788575e-93
"256",0.057,37,"calib",1.57404678376598e-74,4.10455860472967e-49
"257",0.057,37,"lasso",4.19364758604996e-61,9.76727432323446e-44
"258",0.057,37,"logit",6.02413907007067e-62,1.11276806198503e-54
"259",0.057,37,"bart",3.22161388764907e-90,2.72787018721505e-86
"260",0.057,38,"none",1.18217803013072e-50,1.22043564680027e-31
"261",0.057,38,"rake",1.18217803013072e-50,1.22043564680027e-31
"262",0.057,38,"strat",5.28515033842858e-56,1.07467395661918e-43
"263",0.057,38,"calib",3.80195357449984e-50,6.85616231123189e-37
"264",0.057,38,"lasso",1.37333697253003e-54,1.6212846972646e-37
"265",0.057,38,"logit",2.00769520906028e-64,8.32781462447699e-56
"266",0.057,38,"bart",3.67012507160658e-69,1.35407614568106e-64
"267",0.057,39,"none",1.986881858732e-55,1.04041300288683e-37
"268",0.057,39,"rake",1.986881858732e-55,1.04041300288683e-37
"269",0.057,39,"strat",5.57855872549455e-103,1.06791194450106e-103
"270",0.057,39,"calib",5.39537568152255e-93,6.41860407913815e-82
"271",0.057,39,"lasso",1.70840686685261e-87,1.25063654188577e-72
"272",0.057,39,"logit",6.17298312718992e-90,1.0547565590684e-87
"273",0.057,39,"bart",2.06449043357061e-100,2.1232005025701e-100
"274",0.057,40,"none",6.6219027172093e-57,4.11014301214129e-38
"275",0.057,40,"rake",6.6219027172093e-57,4.11014301214129e-38
"276",0.057,40,"strat",3.45609766490027e-81,3.0945770073679e-78
"277",0.057,40,"calib",4.74818859805899e-73,9.03900464913511e-62
"278",0.057,40,"lasso",3.12499463256497e-59,1.98538654941845e-47
"279",0.057,40,"logit",5.88940949322854e-66,4.15220191432918e-57
"280",0.057,40,"bart",1.72474331617576e-83,5.6702489584534e-78
"281",0.057,41,"none",5.34075583146884e-60,4.32031413980085e-41
"282",0.057,41,"rake",5.34075583146884e-60,4.32031413980085e-41
"283",0.057,41,"strat",3.65146758872335e-68,2.32996334333279e-56
"284",0.057,41,"calib",5.96439704741715e-98,1.63085824145826e-83
"285",0.057,41,"lasso",1.0460569665342e-64,7.47546486106794e-49
"286",0.057,41,"logit",1.21719671647707e-71,2.53491447440571e-66
"287",0.057,41,"bart",8.62735735959872e-84,3.89692042227048e-81
"288",0.057,42,"none",4.17484336105413e-71,2.29616309507495e-51
"289",0.057,42,"rake",4.17484336105413e-71,2.29616309507495e-51
"290",0.057,42,"strat",5.76216945411875e-94,4.60177291978829e-92
"291",0.057,42,"calib",2.50960498331942e-75,3.31028684832046e-62
"292",0.057,42,"lasso",2.5320821503533e-73,4.02415683075245e-63
"293",0.057,42,"logit",1.90596910119092e-85,1.11329282289491e-78
"294",0.057,42,"bart",2.78997588086198e-71,8.42218627588723e-69
"295",0.057,43,"none",6.79055106745603e-56,5.60550109587681e-39
"296",0.057,43,"rake",6.79055106745603e-56,5.60550109587681e-39
"297",0.057,43,"strat",1.9237211976437e-91,2.02531735251296e-88
"298",0.057,43,"calib",1.79380189112717e-62,1.00093195815583e-57
"299",0.057,43,"lasso",8.35831378869069e-65,6.55599243117076e-52
"300",0.057,43,"logit",2.26588787795959e-54,4.54283387515358e-47
"301",0.057,43,"bart",3.33732814536537e-107,7.50455228476177e-107
"302",0.057,44,"none",6.3521588538856e-56,2.94876043594088e-38
"303",0.057,44,"rake",6.3521588538856e-56,2.94876043594088e-38
"304",0.057,44,"strat",9.87391513731512e-64,5.75537510285561e-59
"305",0.057,44,"calib",5.67348972275187e-75,5.43294318938358e-58
"306",0.057,44,"lasso",1.45537007105588e-53,2.42752957704186e-42
"307",0.057,44,"logit",7.0892896669399e-56,1.82490782841818e-44
"308",0.057,44,"bart",3.04335769544482e-69,3.51751994330247e-65
"309",0.057,45,"none",2.87320635553164e-54,7.96510800480304e-36
"310",0.057,45,"rake",2.87320635553164e-54,7.96510800480304e-36
"311",0.057,45,"strat",1.36638414747438e-52,5.08594667937622e-39
"312",0.057,45,"calib",1.15063919230934e-42,1.81905243566525e-27
"313",0.057,45,"lasso",1.99617498484105e-53,3.69976768032665e-35
"314",0.057,45,"logit",3.35496127875136e-52,3.88018028413838e-42
"315",0.057,45,"bart",2.04100328269603e-40,1.16447928062789e-26
"316",0.057,46,"none",6.44869737105048e-53,8.60504398243806e-36
"317",0.057,46,"rake",6.44869737105048e-53,8.60504398243806e-36
"318",0.057,46,"strat",2.46985826008454e-109,4.21175089557567e-111
"319",0.057,46,"calib",1.40515643932181e-61,1.38603414887809e-48
"320",0.057,46,"lasso",1.65165288099046e-53,1.08752550026626e-41
"321",0.057,46,"logit",2.28261238673167e-64,7.39728858130233e-57
"322",0.057,46,"bart",3.65655786197648e-101,2.7199833621451e-100
"323",0.057,47,"none",1.41974073200541e-61,4.90501952358354e-44
"324",0.057,47,"rake",1.41974073200541e-61,4.90501952358354e-44
"325",0.057,47,"strat",9.06785147503393e-92,4.29987160268275e-87
"326",0.057,47,"calib",7.75576474842978e-73,6.95278116874904e-61
